ruby,https://learnxinyminutes.com/docs/ruby/,ruby
Rust,https://learnxinyminutes.com/docs/rust/,rust
sass,https://learnxinyminutes.com/docs/sass/,sass
Scala,https://learnxinyminutes.com/docs/scala/,scala
self,https://learnxinyminutes.com/docs/self/,self
SmallBASIC,https://learnxinyminutes.com/docs/smallbasic/,smallbasic
Smalltalk,https://learnxinyminutes.com/docs/smalltalk/,smalltalk
Solidity,https://learnxinyminutes.com/docs/solidity/,solidity
SQL,https://learnxinyminutes.com/docs/sql/,sql
Standard ML,https://learnxinyminutes.com/docs/standard-ml/,standard;ml
stylus,https://learnxinyminutes.com/docs/stylus/,stylus
swift,https://learnxinyminutes.com/docs/swift/,swift
Tcl,https://learnxinyminutes.com/docs/tcl/,tcl
textile,https://learnxinyminutes.com/docs/textile/,textile
toml,https://learnxinyminutes.com/docs/toml/,toml
TypeScript,https://learnxinyminutes.com/docs/typescript/,typescript
vala,https://learnxinyminutes.com/docs/vala/,vala
Vimscript,https://learnxinyminutes.com/docs/vimscript/,vimscript
Visual Basic,https://learnxinyminutes.com/docs/visualbasic/,visual;basic
Vyper,https://learnxinyminutes.com/docs/vyper/,vyper
WebAssembly,https://learnxinyminutes.com/docs/wasm/,webassembly
whip,https://learnxinyminutes.com/docs/whip/,whip
wolfram,https://learnxinyminutes.com/docs/wolfram/,wolfram
xml,https://learnxinyminutes.com/docs/xml/,xml
yaml,https://learnxinyminutes.com/docs/yaml/,yaml
amd,https://learnxinyminutes.com/docs/amd/,amd
AngularJS,https://learnxinyminutes.com/docs/angularjs/,angularjs
ansible,https://learnxinyminutes.com/docs/ansible/,ansible
awk,https://learnxinyminutes.com/docs/awk/,awk
bash,https://learnxinyminutes.com/docs/bash/,bash
cmake,https://learnxinyminutes.com/docs/cmake/,cmake
compojure,https://learnxinyminutes.com/docs/compojure/,compojure
composer,https://learnxinyminutes.com/docs/php-composer/,composer
DirectX 9,https://learnxinyminutes.com/docs/directx9/,directx
emacs,https://learnxinyminutes.com/docs/emacs/,emacs
git,https://learnxinyminutes.com/docs/git/,git
jquery,https://learnxinyminutes.com/docs/jquery/,jquery
